name_short,date,indicator_name,value
Western Africa,2018-05-31,Inflation Rate (median),3.3499999999999996
Western Africa,2018-06-30,Inflation Rate (median),3.6
Western Africa,2018-07-31,Inflation Rate (median),3.0999999999999996
Western Africa,2018-08-31,Inflation Rate (median),2.5999999999999996
Western Africa,2018-09-30,Inflation Rate (median),2.55
Western Africa,2018-10-31,Inflation Rate (median),2.9000000000000004
Western Africa,2018-11-30,Inflation Rate (median),2.8
Western Africa,2018-12-31,Inflation Rate (median),2.8
Western Africa,2019-01-31,Inflation Rate (median),2.4
Western Africa,2019-02-28,Inflation Rate (median),2.2
Western Africa,2019-03-31,Inflation Rate (median),1.9
Western Africa,2019-04-30,Inflation Rate (median),1.05
Western Africa,2019-05-31,Inflation Rate (median),1.5
Western Africa,2019-06-30,Inflation Rate (median),1.65
Western Africa,2019-07-31,Inflation Rate (median),1.15
Western Africa,2019-08-31,Inflation Rate (median),1.4
Western Africa,2019-09-30,Inflation Rate (median),0.7
Western Africa,2019-10-31,Inflation Rate (median),1.0
Western Africa,2019-11-30,Inflation Rate (median),1.4
Western Africa,2019-12-31,Inflation Rate (median),1.75
Western Africa,2020-01-31,Inflation Rate (median),2.0
Western Africa,2020-02-29,Inflation Rate (median),5.2
Western Africa,2020-03-31,Inflation Rate (median),2.45
Western Africa,2020-04-30,Inflation Rate (median),3.2
Western Africa,2020-05-31,Inflation Rate (median),2.8499999999999996
Western Africa,2020-06-30,Inflation Rate (median),2.8499999999999996
Western Africa,2020-07-31,Inflation Rate (median),3.35
Western Africa,2020-08-31,Inflation Rate (median),4.4
Western Africa,2020-09-30,Inflation Rate (median),4.5
Western Africa,2020-10-31,Inflation Rate (median),4.4
Western Africa,2020-11-30,Inflation Rate (median),2.7
Western Africa,2020-12-31,Inflation Rate (median),3.05
Western Africa,2021-01-31,Inflation Rate (median),2.95
Western Africa,2021-02-28,Inflation Rate (median),2.8
Western Africa,2021-03-31,Inflation Rate (median),3.5999999999999996
Western Africa,2021-04-30,Inflation Rate (median),4.6
Western Africa,2021-05-31,Inflation Rate (median),4.2
Western Africa,2021-06-30,Inflation Rate (median),4.6
Western Africa,2021-07-31,Inflation Rate (median),4.35
Western Africa,2021-08-31,Inflation Rate (median),4.85
Western Africa,2021-09-30,Inflation Rate (median),5.2
Western Africa,2021-10-31,Inflation Rate (median),4.6
Western Africa,2021-11-30,Inflation Rate (median),5.470000000000001
Western Africa,2021-12-31,Inflation Rate (median),5.75
Western Africa,2022-01-31,Inflation Rate (median),7.300000000000001
Western Africa,2022-02-28,Inflation Rate (median),7.64
Western Africa,2022-03-31,Inflation Rate (median),8.203
Western Africa,2022-04-30,Inflation Rate (median),7.6
Western Africa,2022-05-31,Inflation Rate (median),8.0
Western Africa,2022-06-30,Inflation Rate (median),8.9
Western Africa,2022-07-31,Inflation Rate (median),10.6
Western Africa,2022-08-31,Inflation Rate (median),11.3
Southern Africa,2018-01-31,Inflation Rate (median),4.3
Southern Africa,2018-02-28,Inflation Rate (median),4.0
Southern Africa,2018-03-31,Inflation Rate (median),3.8
Southern Africa,2018-04-30,Inflation Rate (median),3.8
Southern Africa,2018-05-31,Inflation Rate (median),3.8
Southern Africa,2018-06-30,Inflation Rate (median),4.0
Southern Africa,2018-07-31,Inflation Rate (median),4.5
Southern Africa,2018-08-31,Inflation Rate (median),4.7
Southern Africa,2018-09-30,Inflation Rate (median),4.9
Southern Africa,2018-10-31,Inflation Rate (median),5.1
Southern Africa,2018-11-30,Inflation Rate (median),5.3
Southern Africa,2018-12-31,Inflation Rate (median),4.5
Southern Africa,2019-01-31,Inflation Rate (median),4.7
Southern Africa,2019-02-28,Inflation Rate (median),4.4
Southern Africa,2019-03-31,Inflation Rate (median),4.6
Southern Africa,2019-04-30,Inflation Rate (median),4.3
Southern Africa,2019-05-31,Inflation Rate (median),4.1
Southern Africa,2019-06-30,Inflation Rate (median),3.9
Southern Africa,2019-07-31,Inflation Rate (median),3.6
Southern Africa,2019-08-31,Inflation Rate (median),3.7
Southern Africa,2019-09-30,Inflation Rate (median),3.3
Southern Africa,2019-10-31,Inflation Rate (median),3.0
Southern Africa,2019-11-30,Inflation Rate (median),2.5
Southern Africa,2019-12-31,Inflation Rate (median),2.6
Southern Africa,2020-01-31,Inflation Rate (median),2.7
Southern Africa,2020-02-29,Inflation Rate (median),2.65
Southern Africa,2020-03-31,Inflation Rate (median),3.0
Southern Africa,2020-04-30,Inflation Rate (median),3.0
Southern Africa,2020-05-31,Inflation Rate (median),2.4
Southern Africa,2020-06-30,Inflation Rate (median),2.2
Southern Africa,2020-07-31,Inflation Rate (median),3.2
Southern Africa,2020-08-31,Inflation Rate (median),3.1
Southern Africa,2020-09-30,Inflation Rate (median),3.0
Southern Africa,2020-10-31,Inflation Rate (median),3.3
Southern Africa,2020-11-30,Inflation Rate (median),3.2
Southern Africa,2020-12-31,Inflation Rate (median),3.1
Southern Africa,2021-01-31,Inflation Rate (median),3.2
Southern Africa,2021-02-28,Inflation Rate (median),2.8
Southern Africa,2021-03-31,Inflation Rate (median),3.2
Southern Africa,2021-04-30,Inflation Rate (median),4.4
Southern Africa,2021-05-31,Inflation Rate (median),5.2
Southern Africa,2021-06-30,Inflation Rate (median),4.9
Southern Africa,2021-07-31,Inflation Rate (median),4.7
Southern Africa,2021-08-31,Inflation Rate (median),4.9
Southern Africa,2021-09-30,Inflation Rate (median),5.0
Southern Africa,2021-10-31,Inflation Rate (median),5.0
Southern Africa,2021-11-30,Inflation Rate (median),5.4
Southern Africa,2021-12-31,Inflation Rate (median),5.9
Southern Africa,2022-01-31,Inflation Rate (median),5.7
Southern Africa,2022-02-28,Inflation Rate (median),5.7
Southern Africa,2022-03-31,Inflation Rate (median),5.9
Southern Africa,2022-04-30,Inflation Rate (median),5.9
Southern Africa,2022-05-31,Inflation Rate (median),6.5
Southern Africa,2022-06-30,Inflation Rate (median),7.4
Southern Africa,2022-07-31,Inflation Rate (median),7.8
Southern Africa,2022-08-31,Inflation Rate (median),7.6
Eastern Africa,2018-01-31,Inflation Rate (median),4.5
Eastern Africa,2018-02-28,Inflation Rate (median),4.46
Eastern Africa,2018-03-31,Inflation Rate (median),4.18
Eastern Africa,2018-04-30,Inflation Rate (median),3.73
Eastern Africa,2018-05-31,Inflation Rate (median),3.59
Eastern Africa,2018-06-30,Inflation Rate (median),3.4
Eastern Africa,2018-07-31,Inflation Rate (median),3.5
Eastern Africa,2018-08-31,Inflation Rate (median),3.8
Eastern Africa,2018-09-30,Inflation Rate (median),3.7
Eastern Africa,2018-10-31,Inflation Rate (median),3.98
Eastern Africa,2018-11-30,Inflation Rate (median),3.99
Eastern Africa,2018-12-31,Inflation Rate (median),3.34
Eastern Africa,2019-01-31,Inflation Rate (median),3.18
Eastern Africa,2019-02-28,Inflation Rate (median),3.09
Eastern Africa,2019-03-31,Inflation Rate (median),3.17
Eastern Africa,2019-04-30,Inflation Rate (median),3.27
Eastern Africa,2019-05-31,Inflation Rate (median),3.5
Eastern Africa,2019-06-30,Inflation Rate (median),3.91
Eastern Africa,2019-07-31,Inflation Rate (median),3.7
Eastern Africa,2019-08-31,Inflation Rate (median),3.71
Eastern Africa,2019-09-30,Inflation Rate (median),4.6
Eastern Africa,2019-10-31,Inflation Rate (median),4.95
Eastern Africa,2019-11-30,Inflation Rate (median),4.8
Eastern Africa,2019-12-31,Inflation Rate (median),4.4
Eastern Africa,2020-01-31,Inflation Rate (median),5.2
Eastern Africa,2020-02-29,Inflation Rate (median),7.17
Eastern Africa,2020-03-31,Inflation Rate (median),5.84
Eastern Africa,2020-04-30,Inflation Rate (median),4.67
Eastern Africa,2020-05-31,Inflation Rate (median),4.3
Eastern Africa,2020-06-30,Inflation Rate (median),4.3
Eastern Africa,2020-07-31,Inflation Rate (median),4.1
Eastern Africa,2020-08-31,Inflation Rate (median),4.1
Eastern Africa,2020-09-30,Inflation Rate (median),4.2
Eastern Africa,2020-10-31,Inflation Rate (median),4.3
Eastern Africa,2020-11-30,Inflation Rate (median),4.4
Eastern Africa,2020-12-31,Inflation Rate (median),4.65
Eastern Africa,2021-01-31,Inflation Rate (median),5.0
Eastern Africa,2021-02-28,Inflation Rate (median),5.1
Eastern Africa,2021-03-31,Inflation Rate (median),5.76
Eastern Africa,2021-04-30,Inflation Rate (median),5.44
Eastern Africa,2021-05-31,Inflation Rate (median),5.49
Eastern Africa,2021-06-30,Inflation Rate (median),6.06
Eastern Africa,2021-07-31,Inflation Rate (median),6.5
Eastern Africa,2021-08-31,Inflation Rate (median),6.41
Eastern Africa,2021-09-30,Inflation Rate (median),6.04
Eastern Africa,2021-10-31,Inflation Rate (median),6.18
Eastern Africa,2021-11-30,Inflation Rate (median),6.16
Eastern Africa,2021-12-31,Inflation Rate (median),6.74
Eastern Africa,2022-01-31,Inflation Rate (median),6.3
Eastern Africa,2022-02-28,Inflation Rate (median),6.34
Eastern Africa,2022-03-31,Inflation Rate (median),6.22
Eastern Africa,2022-04-30,Inflation Rate (median),7.6
Eastern Africa,2022-05-31,Inflation Rate (median),7.1
Eastern Africa,2022-06-30,Inflation Rate (median),9.7
Eastern Africa,2022-07-31,Inflation Rate (median),9.155000000000001
Eastern Africa,2022-08-31,Inflation Rate (median),10.65
