year,donor_code,flows_code,value,indicator
2019,8,1140,418850.5,GNI
2019,9,1140,238778.74,GNI
2019,10,1140,544368.7,GNI
2019,11,1140,705444.550726,GNI
2019,12,1140,2753733.7,GNI
2019,18,1140,271248.18,GNI
2019,20,1140,24697.73,GNI
2019,21,1140,308365.36,GNI
2019,22,1140,45606.0,GNI
2019,40,1140,209950.73,GNI
2019,50,1140,1409079.82,GNI
2019,61,1140,53053.92,GNI
2019,68,1140,235444.44,GNI
2019,69,1140,103874.85,GNI
2019,75,1140,146792.8,GNI
2019,76,1140,560079.44,GNI
2019,301,1140,1719400.15,GNI
2019,302,1140,21690015.0,GNI
2019,701,1140,5346035.018281,GNI
2019,742,1140,1657643.51,GNI
2019,801,1140,1345013.9,GNI
2019,820,1140,201243.41,GNI
2020,1,1140,429589.64,GNI
2020,2,1140,489970.37,GNI
2020,3,1140,368470.65,GNI
2020,4,1140,2665742.45,GNI
2020,5,1140,3910153.85,GNI
2020,6,1140,1901602.28,GNI
2020,7,1140,904693.22,GNI
2020,8,1140,378299.62,GNI
2020,9,1140,224419.51,GNI
2020,10,1140,557429.23,GNI
2020,11,1140,725163.55,GNI
2020,12,1140,2659843.53,GNI
2020,18,1140,273321.94,GNI
2020,20,1140,21533.8,GNI
2020,21,1140,323344.73,GNI
2020,22,1140,43897.44,GNI
2020,40,1140,188096.59,GNI
2020,50,1140,1284116.24,GNI
2020,61,1140,52047.11,GNI
2020,68,1140,236768.98,GNI
2020,69,1140,102543.63,GNI
2020,75,1140,154300.11,GNI
2020,76,1140,577343.44,GNI
2020,301,1140,1626367.43,GNI
2020,302,1140,21286637.0,GNI
2020,701,1140,5223483.17,GNI
2020,742,1140,1650686.22,GNI
2020,801,1140,1340301.34,GNI
2020,820,1140,203706.2,GNI
2021,1,1140,475815.99,GNI
2021,2,1140,604741.01,GNI
2021,3,1140,410959.75,GNI
2021,4,1140,3042429.58,GNI
2021,5,1140,4349361.4,GNI
2021,6,1140,2124828.52,GNI
2021,7,1140,1009730.37,GNI
2021,8,1140,504529.48,GNI
2021,9,1140,246971.11,GNI
2021,10,1140,654435.29,GNI
2021,11,1140,782487.74,GNI
2021,12,1140,3117975.24,GNI
2021,18,1140,304182.83,GNI
2021,20,1140,25550.5,GNI
2021,21,1140,382546.12,GNI
2021,22,1140,54600.28,GNI
2021,40,1140,216804.81,GNI
2021,50,1140,1417194.89,GNI
2021,61,1140,60869.77,GNI
2021,68,1140,271374.68,GNI
2021,69,1140,113338.35,GNI
2021,75,1140,155018.26,GNI
2021,76,1140,647670.0,GNI
2021,301,1140,1974773.83,GNI
2021,302,1140,23785852.0,GNI
2021,701,1140,5127653.27,GNI
2021,742,1140,1830320.2,GNI
2021,801,1140,1601497.56,GNI
2021,820,1140,244685.62,GNI
